id	knockdown_method	target	cell	cell_type	db	platform	rep	sign
shRNA.U2AF1.HepG2.Liver_Cell_line.ENCODE.ENCSR372UWV.c1	shRNA	U2AF1	HepG2	Liver_Cell_line	ENCODE	ENCSR372UWV	c1	1
shRNA.U2AF1.HepG2.Liver_Cell_line.ENCODE.ENCSR372UWV.c2	shRNA	U2AF1	HepG2	Liver_Cell_line	ENCODE	ENCSR372UWV	c2	1
CRISPRi.RBBP7.K562.Haematopoietic_Cell_line.ENCODE.ENCSR235ZEI.k1	CRISPRi	RBBP7	K562	Haematopoietic_Cell_line	ENCODE	ENCSR235ZEI	k1	-1
CRISPRi.RBBP7.K562.Haematopoietic_Cell_line.ENCODE.ENCSR235ZEI.k2	CRISPRi	RBBP7	K562	Haematopoietic_Cell_line	ENCODE	ENCSR235ZEI	k2	-1
CRISPRi.RBBP7.K562.Haematopoietic_Cell_line.ENCODE.ENCSR235ZEI.k3	CRISPRi	RBBP7	K562	Haematopoietic_Cell_line	ENCODE	ENCSR235ZEI	k3	-1
CRISPRi.RBBP7.K562.Haematopoietic_Cell_line.ENCODE.ENCSR235ZEI.c1	CRISPRi	RBBP7	K562	Haematopoietic_Cell_line	ENCODE	ENCSR235ZEI	c1	1
CRISPRi.RBBP7.K562.Haematopoietic_Cell_line.ENCODE.ENCSR235ZEI.c2	CRISPRi	RBBP7	K562	Haematopoietic_Cell_line	ENCODE	ENCSR235ZEI	c2	1
shRNA.AGO1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR268JDD.k1	shRNA	AGO1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR268JDD	k1	-1
shRNA.AGO1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR268JDD.k2	shRNA	AGO1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR268JDD	k2	-1
shRNA.AGO1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR268JDD.c1	shRNA	AGO1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR268JDD	c1	1
shRNA.AGO1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR268JDD.c2	shRNA	AGO1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR268JDD	c2	1
shRNA.PTBP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR527IVX.k1	shRNA	PTBP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR527IVX	k1	-1
shRNA.PTBP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR527IVX.k2	shRNA	PTBP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR527IVX	k2	-1
shRNA.PTBP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR527IVX.c1	shRNA	PTBP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR527IVX	c1	1
shRNA.PTBP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR527IVX.c2	shRNA	PTBP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR527IVX	c2	1
shRNA.RBM22.K562.Haematopoietic_Cell_line.ENCODE.ENCSR947OIM.k1	shRNA	RBM22	K562	Haematopoietic_Cell_line	ENCODE	ENCSR947OIM	k1	-1
shRNA.RBM22.K562.Haematopoietic_Cell_line.ENCODE.ENCSR947OIM.k2	shRNA	RBM22	K562	Haematopoietic_Cell_line	ENCODE	ENCSR947OIM	k2	-1
shRNA.RBM22.K562.Haematopoietic_Cell_line.ENCODE.ENCSR947OIM.c1	shRNA	RBM22	K562	Haematopoietic_Cell_line	ENCODE	ENCSR947OIM	c1	1
shRNA.RBM22.K562.Haematopoietic_Cell_line.ENCODE.ENCSR947OIM.c2	shRNA	RBM22	K562	Haematopoietic_Cell_line	ENCODE	ENCSR947OIM	c2	1
siRNA.KAT2B.K562.Haematopoietic_Cell_line.ENCODE.ENCSR576FFB.k1	siRNA	KAT2B	K562	Haematopoietic_Cell_line	ENCODE	ENCSR576FFB	k1	-1
siRNA.KAT2B.K562.Haematopoietic_Cell_line.ENCODE.ENCSR576FFB.k2	siRNA	KAT2B	K562	Haematopoietic_Cell_line	ENCODE	ENCSR576FFB	k2	-1
siRNA.KAT2B.K562.Haematopoietic_Cell_line.ENCODE.ENCSR576FFB.c1	siRNA	KAT2B	K562	Haematopoietic_Cell_line	ENCODE	ENCSR576FFB	c1	1
siRNA.KAT2B.K562.Haematopoietic_Cell_line.ENCODE.ENCSR576FFB.c2	siRNA	KAT2B	K562	Haematopoietic_Cell_line	ENCODE	ENCSR576FFB	c2	1
siRNA.ZFX.C4_2B.Prostate_Cell_line.ENCODE.ENCSR244ZVP.k1	siRNA	ZFX	C4_2B	Prostate_Cell_line	ENCODE	ENCSR244ZVP	k1	-1
siRNA.ZFX.C4_2B.Prostate_Cell_line.ENCODE.ENCSR244ZVP.k2	siRNA	ZFX	C4_2B	Prostate_Cell_line	ENCODE	ENCSR244ZVP	k2	-1
siRNA.ZFX.C4_2B.Prostate_Cell_line.ENCODE.ENCSR244ZVP.k3	siRNA	ZFX	C4_2B	Prostate_Cell_line	ENCODE	ENCSR244ZVP	k3	-1
siRNA.ZFX.C4_2B.Prostate_Cell_line.ENCODE.ENCSR244ZVP.c1	siRNA	ZFX	C4_2B	Prostate_Cell_line	ENCODE	ENCSR244ZVP	c1	1
siRNA.ZFX.C4_2B.Prostate_Cell_line.ENCODE.ENCSR244ZVP.c2	siRNA	ZFX	C4_2B	Prostate_Cell_line	ENCODE	ENCSR244ZVP	c2	1
siRNA.ZFX.C4_2B.Prostate_Cell_line.ENCODE.ENCSR244ZVP.c3	siRNA	ZFX	C4_2B	Prostate_Cell_line	ENCODE	ENCSR244ZVP	c3	1
shRNA.CCAR2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR984CLJ.k1	shRNA	CCAR2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR984CLJ	k1	-1
shRNA.CCAR2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR984CLJ.k2	shRNA	CCAR2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR984CLJ	k2	-1
shRNA.CCAR2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR984CLJ.c1	shRNA	CCAR2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR984CLJ	c1	1
shRNA.CCAR2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR984CLJ.c2	shRNA	CCAR2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR984CLJ	c2	1
CRISPRi.SMAD5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR731FEO.k1	CRISPRi	SMAD5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR731FEO	k1	-1
CRISPRi.SMAD5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR731FEO.k2	CRISPRi	SMAD5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR731FEO	k2	-1
CRISPRi.SMAD5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR731FEO.c1	CRISPRi	SMAD5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR731FEO	c1	1
CRISPRi.SMAD5.K562.Haematopoietic_Cell_line.ENCODE.ENCSR731FEO.c2	CRISPRi	SMAD5	K562	Haematopoietic_Cell_line	ENCODE	ENCSR731FEO	c2	1
shRNA.PRPF4.HepG2.Liver_Cell_line.ENCODE.ENCSR215FRI.k1	shRNA	PRPF4	HepG2	Liver_Cell_line	ENCODE	ENCSR215FRI	k1	-1
shRNA.PRPF4.HepG2.Liver_Cell_line.ENCODE.ENCSR215FRI.k2	shRNA	PRPF4	HepG2	Liver_Cell_line	ENCODE	ENCSR215FRI	k2	-1
shRNA.PRPF4.HepG2.Liver_Cell_line.ENCODE.ENCSR215FRI.c1	shRNA	PRPF4	HepG2	Liver_Cell_line	ENCODE	ENCSR215FRI	c1	1
shRNA.PRPF4.HepG2.Liver_Cell_line.ENCODE.ENCSR215FRI.c2	shRNA	PRPF4	HepG2	Liver_Cell_line	ENCODE	ENCSR215FRI	c2	1
CRISPRi.NR2F2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR688UTN.k1	CRISPRi	NR2F2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR688UTN	k1	-1
CRISPRi.NR2F2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR688UTN.k2	CRISPRi	NR2F2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR688UTN	k2	-1
CRISPRi.NR2F2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR688UTN.k3	CRISPRi	NR2F2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR688UTN	k3	-1
CRISPRi.NR2F2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR688UTN.c1	CRISPRi	NR2F2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR688UTN	c1	1
CRISPRi.NR2F2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR688UTN.c2	CRISPRi	NR2F2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR688UTN	c2	1
CRISPRi.MITF.K562.Haematopoietic_Cell_line.ENCODE.ENCSR905SEH.k1	CRISPRi	MITF	K562	Haematopoietic_Cell_line	ENCODE	ENCSR905SEH	k1	-1
CRISPRi.MITF.K562.Haematopoietic_Cell_line.ENCODE.ENCSR905SEH.k2	CRISPRi	MITF	K562	Haematopoietic_Cell_line	ENCODE	ENCSR905SEH	k2	-1
CRISPRi.MITF.K562.Haematopoietic_Cell_line.ENCODE.ENCSR905SEH.c1	CRISPRi	MITF	K562	Haematopoietic_Cell_line	ENCODE	ENCSR905SEH	c1	1
CRISPRi.MITF.K562.Haematopoietic_Cell_line.ENCODE.ENCSR905SEH.c2	CRISPRi	MITF	K562	Haematopoietic_Cell_line	ENCODE	ENCSR905SEH	c2	1
shRNA.FUS.HepG2.Liver_Cell_line.ENCODE.ENCSR927JXU.k1	shRNA	FUS	HepG2	Liver_Cell_line	ENCODE	ENCSR927JXU	k1	-1
shRNA.FUS.HepG2.Liver_Cell_line.ENCODE.ENCSR927JXU.k2	shRNA	FUS	HepG2	Liver_Cell_line	ENCODE	ENCSR927JXU	k2	-1
shRNA.FUS.HepG2.Liver_Cell_line.ENCODE.ENCSR927JXU.c1	shRNA	FUS	HepG2	Liver_Cell_line	ENCODE	ENCSR927JXU	c1	1
shRNA.FUS.HepG2.Liver_Cell_line.ENCODE.ENCSR927JXU.c2	shRNA	FUS	HepG2	Liver_Cell_line	ENCODE	ENCSR927JXU	c2	1
shRNA.ILF2.HepG2.Liver_Cell_line.ENCODE.ENCSR366FFV.k1	shRNA	ILF2	HepG2	Liver_Cell_line	ENCODE	ENCSR366FFV	k1	-1
shRNA.ILF2.HepG2.Liver_Cell_line.ENCODE.ENCSR366FFV.k2	shRNA	ILF2	HepG2	Liver_Cell_line	ENCODE	ENCSR366FFV	k2	-1
shRNA.ILF2.HepG2.Liver_Cell_line.ENCODE.ENCSR366FFV.c1	shRNA	ILF2	HepG2	Liver_Cell_line	ENCODE	ENCSR366FFV	c1	1
shRNA.ILF2.HepG2.Liver_Cell_line.ENCODE.ENCSR366FFV.c2	shRNA	ILF2	HepG2	Liver_Cell_line	ENCODE	ENCSR366FFV	c2	1
siRNA.CDAN1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR472UFW.k1	siRNA	CDAN1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR472UFW	k1	-1
siRNA.CDAN1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR472UFW.k2	siRNA	CDAN1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR472UFW	k2	-1
siRNA.CDAN1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR472UFW.c1	siRNA	CDAN1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR472UFW	c1	1
siRNA.CDAN1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR472UFW.c2	siRNA	CDAN1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR472UFW	c2	1
CRISPRi.WHSC1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR181WYS.k1	CRISPRi	WHSC1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR181WYS	k1	-1
CRISPRi.WHSC1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR181WYS.k2	CRISPRi	WHSC1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR181WYS	k2	-1
CRISPRi.WHSC1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR181WYS.k3	CRISPRi	WHSC1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR181WYS	k3	-1
CRISPRi.WHSC1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR181WYS.k4	CRISPRi	WHSC1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR181WYS	k4	-1
CRISPRi.WHSC1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR181WYS.c1	CRISPRi	WHSC1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR181WYS	c1	1
CRISPRi.WHSC1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR181WYS.c2	CRISPRi	WHSC1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR181WYS	c2	1
shRNA.SUB1.HepG2.Liver_Cell_line.ENCODE.ENCSR997FOT.k1	shRNA	SUB1	HepG2	Liver_Cell_line	ENCODE	ENCSR997FOT	k1	-1
shRNA.SUB1.HepG2.Liver_Cell_line.ENCODE.ENCSR997FOT.k2	shRNA	SUB1	HepG2	Liver_Cell_line	ENCODE	ENCSR997FOT	k2	-1
shRNA.SUB1.HepG2.Liver_Cell_line.ENCODE.ENCSR997FOT.c1	shRNA	SUB1	HepG2	Liver_Cell_line	ENCODE	ENCSR997FOT	c1	1
shRNA.SUB1.HepG2.Liver_Cell_line.ENCODE.ENCSR997FOT.c2	shRNA	SUB1	HepG2	Liver_Cell_line	ENCODE	ENCSR997FOT	c2	1
CRISPRi.ZNF384.K562.Haematopoietic_Cell_line.ENCODE.ENCSR103URL.k1	CRISPRi	ZNF384	K562	Haematopoietic_Cell_line	ENCODE	ENCSR103URL	k1	-1
CRISPRi.ZNF384.K562.Haematopoietic_Cell_line.ENCODE.ENCSR103URL.k2	CRISPRi	ZNF384	K562	Haematopoietic_Cell_line	ENCODE	ENCSR103URL	k2	-1
CRISPRi.ZNF384.K562.Haematopoietic_Cell_line.ENCODE.ENCSR103URL.c1	CRISPRi	ZNF384	K562	Haematopoietic_Cell_line	ENCODE	ENCSR103URL	c1	1
CRISPRi.ZNF384.K562.Haematopoietic_Cell_line.ENCODE.ENCSR103URL.c2	CRISPRi	ZNF384	K562	Haematopoietic_Cell_line	ENCODE	ENCSR103URL	c2	1
siRNA.LMNA.K562.Haematopoietic_Cell_line.ENCODE.ENCSR071JWS.k1	siRNA	LMNA	K562	Haematopoietic_Cell_line	ENCODE	ENCSR071JWS	k1	-1
siRNA.LMNA.K562.Haematopoietic_Cell_line.ENCODE.ENCSR071JWS.k2	siRNA	LMNA	K562	Haematopoietic_Cell_line	ENCODE	ENCSR071JWS	k2	-1
siRNA.LMNA.K562.Haematopoietic_Cell_line.ENCODE.ENCSR071JWS.c1	siRNA	LMNA	K562	Haematopoietic_Cell_line	ENCODE	ENCSR071JWS	c1	1
siRNA.LMNA.K562.Haematopoietic_Cell_line.ENCODE.ENCSR071JWS.c2	siRNA	LMNA	K562	Haematopoietic_Cell_line	ENCODE	ENCSR071JWS	c2	1
shRNA.ILF3.HepG2.Liver_Cell_line.ENCODE.ENCSR942MBU.k1	shRNA	ILF3	HepG2	Liver_Cell_line	ENCODE	ENCSR942MBU	k1	-1
shRNA.ILF3.HepG2.Liver_Cell_line.ENCODE.ENCSR942MBU.k2	shRNA	ILF3	HepG2	Liver_Cell_line	ENCODE	ENCSR942MBU	k2	-1
shRNA.ILF3.HepG2.Liver_Cell_line.ENCODE.ENCSR942MBU.c1	shRNA	ILF3	HepG2	Liver_Cell_line	ENCODE	ENCSR942MBU	c1	1
shRNA.ILF3.HepG2.Liver_Cell_line.ENCODE.ENCSR942MBU.c2	shRNA	ILF3	HepG2	Liver_Cell_line	ENCODE	ENCSR942MBU	c2	1
shRNA.HNRNPK.K562.Haematopoietic_Cell_line.ENCODE.ENCSR529JNJ.k1	shRNA	HNRNPK	K562	Haematopoietic_Cell_line	ENCODE	ENCSR529JNJ	k1	-1
shRNA.HNRNPK.K562.Haematopoietic_Cell_line.ENCODE.ENCSR529JNJ.k2	shRNA	HNRNPK	K562	Haematopoietic_Cell_line	ENCODE	ENCSR529JNJ	k2	-1
shRNA.HNRNPK.K562.Haematopoietic_Cell_line.ENCODE.ENCSR529JNJ.c1	shRNA	HNRNPK	K562	Haematopoietic_Cell_line	ENCODE	ENCSR529JNJ	c1	1
shRNA.HNRNPK.K562.Haematopoietic_Cell_line.ENCODE.ENCSR529JNJ.c2	shRNA	HNRNPK	K562	Haematopoietic_Cell_line	ENCODE	ENCSR529JNJ	c2	1
CRISPRi.HMGN3.K562.Haematopoietic_Cell_line.ENCODE.ENCSR160YSN.k1	CRISPRi	HMGN3	K562	Haematopoietic_Cell_line	ENCODE	ENCSR160YSN	k1	-1
CRISPRi.HMGN3.K562.Haematopoietic_Cell_line.ENCODE.ENCSR160YSN.k2	CRISPRi	HMGN3	K562	Haematopoietic_Cell_line	ENCODE	ENCSR160YSN	k2	-1
CRISPRi.HMGN3.K562.Haematopoietic_Cell_line.ENCODE.ENCSR160YSN.c1	CRISPRi	HMGN3	K562	Haematopoietic_Cell_line	ENCODE	ENCSR160YSN	c1	1
CRISPRi.HMGN3.K562.Haematopoietic_Cell_line.ENCODE.ENCSR160YSN.c2	CRISPRi	HMGN3	K562	Haematopoietic_Cell_line	ENCODE	ENCSR160YSN	c2	1
CRISPRi.HOXB9.K562.Haematopoietic_Cell_line.ENCODE.ENCSR810RIC.k1	CRISPRi	HOXB9	K562	Haematopoietic_Cell_line	ENCODE	ENCSR810RIC	k1	-1
CRISPRi.HOXB9.K562.Haematopoietic_Cell_line.ENCODE.ENCSR810RIC.k2	CRISPRi	HOXB9	K562	Haematopoietic_Cell_line	ENCODE	ENCSR810RIC	k2	-1
CRISPRi.HOXB9.K562.Haematopoietic_Cell_line.ENCODE.ENCSR810RIC.c1	CRISPRi	HOXB9	K562	Haematopoietic_Cell_line	ENCODE	ENCSR810RIC	c1	1
CRISPRi.HOXB9.K562.Haematopoietic_Cell_line.ENCODE.ENCSR810RIC.c2	CRISPRi	HOXB9	K562	Haematopoietic_Cell_line	ENCODE	ENCSR810RIC	c2	1
CRISPRi.DPF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR028FBD.k1	CRISPRi	DPF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR028FBD	k1	-1
CRISPRi.DPF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR028FBD.k2	CRISPRi	DPF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR028FBD	k2	-1
CRISPRi.DPF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR028FBD.c1	CRISPRi	DPF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR028FBD	c1	1
CRISPRi.DPF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR028FBD.c2	CRISPRi	DPF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR028FBD	c2	1
shRNA.ILF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR126ARZ.k1	shRNA	ILF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR126ARZ	k1	-1
shRNA.ILF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR126ARZ.k2	shRNA	ILF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR126ARZ	k2	-1
shRNA.ILF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR126ARZ.c1	shRNA	ILF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR126ARZ	c1	1
shRNA.ILF2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR126ARZ.c2	shRNA	ILF2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR126ARZ	c2	1
CRISPRi.HINFP.K562.Haematopoietic_Cell_line.ENCODE.ENCSR713AEC.k1	CRISPRi	HINFP	K562	Haematopoietic_Cell_line	ENCODE	ENCSR713AEC	k1	-1
CRISPRi.HINFP.K562.Haematopoietic_Cell_line.ENCODE.ENCSR713AEC.k2	CRISPRi	HINFP	K562	Haematopoietic_Cell_line	ENCODE	ENCSR713AEC	k2	-1
CRISPRi.HINFP.K562.Haematopoietic_Cell_line.ENCODE.ENCSR713AEC.c1	CRISPRi	HINFP	K562	Haematopoietic_Cell_line	ENCODE	ENCSR713AEC	c1	1
CRISPRi.HINFP.K562.Haematopoietic_Cell_line.ENCODE.ENCSR713AEC.c2	CRISPRi	HINFP	K562	Haematopoietic_Cell_line	ENCODE	ENCSR713AEC	c2	1
CRISPRi.TRIM28.K562.Haematopoietic_Cell_line.ENCODE.ENCSR591QYK.k1	CRISPRi	TRIM28	K562	Haematopoietic_Cell_line	ENCODE	ENCSR591QYK	k1	-1
CRISPRi.TRIM28.K562.Haematopoietic_Cell_line.ENCODE.ENCSR591QYK.k2	CRISPRi	TRIM28	K562	Haematopoietic_Cell_line	ENCODE	ENCSR591QYK	k2	-1
CRISPRi.TRIM28.K562.Haematopoietic_Cell_line.ENCODE.ENCSR591QYK.c1	CRISPRi	TRIM28	K562	Haematopoietic_Cell_line	ENCODE	ENCSR591QYK	c1	1
CRISPRi.TRIM28.K562.Haematopoietic_Cell_line.ENCODE.ENCSR591QYK.c2	CRISPRi	TRIM28	K562	Haematopoietic_Cell_line	ENCODE	ENCSR591QYK	c2	1
CRISPRi.SP2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715EDZ.k1	CRISPRi	SP2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715EDZ	k1	-1
CRISPRi.SP2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715EDZ.k2	CRISPRi	SP2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715EDZ	k2	-1
CRISPRi.SP2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715EDZ.k3	CRISPRi	SP2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715EDZ	k3	-1
CRISPRi.SP2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715EDZ.c1	CRISPRi	SP2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715EDZ	c1	1
CRISPRi.SP2.K562.Haematopoietic_Cell_line.ENCODE.ENCSR715EDZ.c2	CRISPRi	SP2	K562	Haematopoietic_Cell_line	ENCODE	ENCSR715EDZ	c2	1
shRNA.RBM39.K562.Haematopoietic_Cell_line.ENCODE.ENCSR678WOA.k1	shRNA	RBM39	K562	Haematopoietic_Cell_line	ENCODE	ENCSR678WOA	k1	-1
shRNA.RBM39.K562.Haematopoietic_Cell_line.ENCODE.ENCSR678WOA.k2	shRNA	RBM39	K562	Haematopoietic_Cell_line	ENCODE	ENCSR678WOA	k2	-1
shRNA.RBM39.K562.Haematopoietic_Cell_line.ENCODE.ENCSR678WOA.c1	shRNA	RBM39	K562	Haematopoietic_Cell_line	ENCODE	ENCSR678WOA	c1	1
shRNA.RBM39.K562.Haematopoietic_Cell_line.ENCODE.ENCSR678WOA.c2	shRNA	RBM39	K562	Haematopoietic_Cell_line	ENCODE	ENCSR678WOA	c2	1
siRNA.ZNF180.K562.Haematopoietic_Cell_line.ENCODE.ENCSR555CYH.k1	siRNA	ZNF180	K562	Haematopoietic_Cell_line	ENCODE	ENCSR555CYH	k1	-1
siRNA.ZNF180.K562.Haematopoietic_Cell_line.ENCODE.ENCSR555CYH.k2	siRNA	ZNF180	K562	Haematopoietic_Cell_line	ENCODE	ENCSR555CYH	k2	-1
siRNA.ZNF180.K562.Haematopoietic_Cell_line.ENCODE.ENCSR555CYH.c1	siRNA	ZNF180	K562	Haematopoietic_Cell_line	ENCODE	ENCSR555CYH	c1	1
siRNA.ZNF180.K562.Haematopoietic_Cell_line.ENCODE.ENCSR555CYH.c2	siRNA	ZNF180	K562	Haematopoietic_Cell_line	ENCODE	ENCSR555CYH	c2	1
CRISPRi.THAP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR294ZCD.k1	CRISPRi	THAP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR294ZCD	k1	-1
CRISPRi.THAP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR294ZCD.k2	CRISPRi	THAP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR294ZCD	k2	-1
CRISPRi.THAP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR294ZCD.c1	CRISPRi	THAP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR294ZCD	c1	1
CRISPRi.THAP1.K562.Haematopoietic_Cell_line.ENCODE.ENCSR294ZCD.c2	CRISPRi	THAP1	K562	Haematopoietic_Cell_line	ENCODE	ENCSR294ZCD	c2	1
siRNA.E2F6.K562.Haematopoietic_Cell_line.ENCODE.ENCSR820EGA.k1	siRNA	E2F6	K562	Haematopoietic_Cell_line	ENCODE	ENCSR820EGA	k1	-1
siRNA.E2F6.K562.Haematopoietic_Cell_line.ENCODE.ENCSR820EGA.k2	siRNA	E2F6	K562	Haematopoietic_Cell_line	ENCODE	ENCSR820EGA	k2	-1
siRNA.E2F6.K562.Haematopoietic_Cell_line.ENCODE.ENCSR820EGA.c1	siRNA	E2F6	K562	Haematopoietic_Cell_line	ENCODE	ENCSR820EGA	c1	1
siRNA.E2F6.K562.Haematopoietic_Cell_line.ENCODE.ENCSR820EGA.c2	siRNA	E2F6	K562	Haematopoietic_Cell_line	ENCODE	ENCSR820EGA	c2	1
CRISPRi.ARID3A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR898UNK.k1	CRISPRi	ARID3A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR898UNK	k1	-1
CRISPRi.ARID3A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR898UNK.k2	CRISPRi	ARID3A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR898UNK	k2	-1
CRISPRi.ARID3A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR898UNK.c1	CRISPRi	ARID3A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR898UNK	c1	1
CRISPRi.ARID3A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR898UNK.c2	CRISPRi	ARID3A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR898UNK	c2	1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR627NVU.k1	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR627NVU	k1	-1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR627NVU.k2	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR627NVU	k2	-1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR627NVU.c1	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR627NVU	c1	1
shRNA.RBM15.K562.Haematopoietic_Cell_line.ENCODE.ENCSR627NVU.c2	shRNA	RBM15	K562	Haematopoietic_Cell_line	ENCODE	ENCSR627NVU	c2	1
shRNA.AGO1.HepG2.Liver_Cell_line.ENCODE.ENCSR533HXS.k1	shRNA	AGO1	HepG2	Liver_Cell_line	ENCODE	ENCSR533HXS	k1	-1
shRNA.AGO1.HepG2.Liver_Cell_line.ENCODE.ENCSR533HXS.k2	shRNA	AGO1	HepG2	Liver_Cell_line	ENCODE	ENCSR533HXS	k2	-1
shRNA.AGO1.HepG2.Liver_Cell_line.ENCODE.ENCSR533HXS.c1	shRNA	AGO1	HepG2	Liver_Cell_line	ENCODE	ENCSR533HXS	c1	1
